ticket_id,subject,type,source,status,priority,agent,group,created_at,resolved_at,resolution_hours,sla_breached,csat_score,tags,month,day_of_week
TKT-0001,Account suspended incorrectly,Incident,Email,Pending,High,Oluwatosin A.,Technical Support,2024-11-23 03:01:00,,,True,,mobile,2024-11,Saturday
TKT-0002,Two factor authentication issue,Problem,Phone,Pending,Low,Fatima D.,Customer Success,2024-04-29 16:38:00,,,False,,email,2024-04,Monday
TKT-0003,Account suspended incorrectly,Feature Request,Email,Open,High,Fatima D.,Technical Support,2024-03-20 06:48:00,,,False,,upgrade,2024-03,Wednesday
TKT-0004,Billing charge incorrect,Question,Email,Pending,High,Fatima D.,Customer Success,2024-02-10 17:18:00,,,False,,report,2024-02,Saturday
TKT-0005,Account suspended incorrectly,Question,Social Media,Resolved,High,Chisom B.,Billing,2024-11-21 11:10:00,2024-11-21 23:10:00,12.0,False,1.0,report,2024-11,Thursday
TKT-0006,Email notifications not working,Problem,Phone,Resolved,Medium,Kelechi E.,Customer Success,2024-07-13 08:59:00,2024-07-14 10:59:00,26.0,False,4.0,mobile,2024-07,Saturday
TKT-0007,Invoice not generated,Incident,Social Media,Pending,Urgent,Fatima D.,Customer Success,2024-12-01 15:25:00,,,False,,mobile,2024-12,Sunday
TKT-0008,Account suspended incorrectly,Problem,Portal,Open,Low,Fatima D.,IT Helpdesk,2024-03-11 16:31:00,,,False,,email,2024-03,Monday
TKT-0009,Slow loading dashboard,Question,Portal,Open,Low,Oluwatosin A.,Customer Success,2025-05-12 17:55:00,,,False,,bug,2025-05,Monday
TKT-0010,Account suspended incorrectly,Feature Request,Portal,Pending,High,Oluwatosin A.,Technical Support,2024-09-16 03:55:00,,,True,,api,2024-09,Monday
TKT-0011,Two factor authentication issue,Question,Phone,Pending,Low,Fatima D.,Billing,2025-03-25 09:15:00,,,True,,email,2025-03,Tuesday
TKT-0012,Integration not working,Incident,Email,Pending,Medium,Chisom B.,Billing,2024-09-27 19:27:00,,,False,,billing,2024-09,Friday
TKT-0013,Request for account upgrade,Problem,Email,Pending,Medium,Emeka C.,Technical Support,2024-06-22 00:37:00,,,True,,mobile,2024-06,Saturday
TKT-0014,Billing charge incorrect,Problem,Portal,Pending,Medium,Emeka C.,IT Helpdesk,2024-05-22 21:31:00,,,True,,upgrade,2024-05,Wednesday
TKT-0015,Request for account upgrade,Incident,Phone,Open,Low,Fatima D.,Billing,2024-08-27 23:03:00,,,True,,email,2024-08,Tuesday
TKT-0016,Billing charge incorrect,Question,Phone,Closed,Low,Fatima D.,IT Helpdesk,2024-08-24 07:55:00,2024-08-30 04:55:00,141.0,False,1.0,report,2024-08,Saturday
TKT-0017,Email notifications not working,Incident,Social Media,Pending,Low,Fatima D.,Billing,2024-04-19 12:57:00,,,False,,mobile,2024-04,Friday
TKT-0018,Report download failing,Question,Email,Resolved,Low,Kelechi E.,Technical Support,2024-05-31 06:03:00,2024-06-05 19:03:00,133.0,False,5.0,bug,2024-05,Friday
TKT-0019,Cannot login to account,Problem,Portal,Closed,Medium,Kelechi E.,Customer Success,2024-02-05 19:04:00,2024-02-07 10:04:00,39.0,False,5.0,email,2024-02,Monday
